model,dice,iou,precision,recall,hausdorff_95
MicroSegNet,0.9291254754823971,0.878701701668842,109.86042815787137,108.61431,14.814318454727479
MicroSegNetAttention,0.9317094327324277,0.8844317535731979,108.6896374250624,108.27152,13.65803068034824
UNet,0.9235410486551636,0.8778885455004216,108.29167948608625,105.958176,15.669211417218712
TransUNet,0.7180987868192329,0.5961800732491684,116.85604881609854,162.25983,71.74004205207244
